site;lat;lon;year;month;tmean;prec
b1;50,07;10,44;1910;5;12,1;64
b1;50,07;10,44;1910;6;15,7;133
b1;50,07;10,44;1910;7;14,8;97
b1;50,07;10,44;1910;8;15,3;104
b1;50,07;10,44;1910;9;11;52
b1;50,07;10,44;1910;10;8,7;14
b1;50,07;10,44;1910;11;1,6;138
b1;50,07;10,44;1910;12;1,7;55
b1;50,07;10,44;1911;1;-2,5;26
b1;50,07;10,44;1911;2;0,8;36
b1;50,07;10,44;1911;3;3,8;25
b1;50,07;10,44;1911;4;6,8;23
b1;50,07;10,44;1911;5;12,4;70
b1;50,07;10,44;1911;6;14,5;36
b1;50,07;10,44;1911;7;19;24
b1;50,07;10,44;1911;8;19,2;26
b1;50,07;10,44;1911;9;13,6;41
b1;50,07;10,44;1911;10;7,9;30
b1;50,07;10,44;1911;11;4,1;53
b1;50,07;10,44;1911;12;2,4;83
b1;50,07;10,44;1912;1;-1,3;47
b1;50,07;10,44;1912;2;2,2;45
b1;50,07;10,44;1912;3;5,7;59
b1;50,07;10,44;1912;4;6,4;23
b1;50,07;10,44;1912;5;12;65
b1;50,07;10,44;1912;6;15,2;81
b1;50,07;10,44;1912;7;17,1;46
b1;50,07;10,44;1912;8;13,3;104
b1;50,07;10,44;1912;9;8,2;59
b1;50,07;10,44;1912;10;5,7;65
b1;50,07;10,44;1912;11;1,8;72
b1;50,07;10,44;1912;12;1,5;44
b1;50,07;10,44;1913;1;-0,9;47
b1;50,07;10,44;1913;2;0,8;29
b1;50,07;10,44;1913;3;5,8;34
b1;50,07;10,44;1913;4;7,1;38
b1;50,07;10,44;1913;5;11,6;89
b1;50,07;10,44;1913;6;14,3;123
b1;50,07;10,44;1913;7;13,6;71
b1;50,07;10,44;1913;8;14,1;45
b1;50,07;10,44;1913;9;11,7;52
b1;50,07;10,44;1913;10;8,6;33
b1;50,07;10,44;1913;11;6,3;86
b1;50,07;10,44;1913;12;1,3;63
b1;50,07;10,44;1914;1;-4,5;34
b1;50,07;10,44;1914;2;1,4;25
b1;50,07;10,44;1914;3;4,3;101
b1;50,07;10,44;1914;4;9,5;28
b1;50,07;10,44;1914;5;10,4;84
b1;50,07;10,44;1914;6;14;70
b1;50,07;10,44;1914;7;16,5;124
b1;50,07;10,44;1914;8;16,6;45
b1;50,07;10,44;1914;9;11,5;82
b1;50,07;10,44;1914;10;7,5;38
b1;50,07;10,44;1914;11;2,8;44
b1;50,07;10,44;1914;12;3;61
b1;50,07;10,44;1915;1;-0,4;97
b1;50,07;10,44;1915;2;0,8;30
b1;50,07;10,44;1915;3;1,8;74
b1;50,07;10,44;1915;4;6,6;47
b1;50,07;10,44;1915;5;13,4;31
b1;50,07;10,44;1915;6;17,9;43
b1;50,07;10,44;1915;7;15,7;64
b1;50,07;10,44;1915;8;14,8;97
b1;50,07;10,44;1915;9;11,1;27
b1;50,07;10,44;1915;10;6,1;24
b1;50,07;10,44;1915;11;0,9;44
b1;50,07;10,44;1915;12;3,4;116
b1;50,07;10,44;1916;1;3,5;63
b1;50,07;10,44;1916;2;0,6;71
b1;50,07;10,44;1916;3;4,6;41
b1;50,07;10,44;1916;4;8;60
b1;50,07;10,44;1916;5;13,1;76
b1;50,07;10,44;1916;6;12,5;58
b1;50,07;10,44;1916;7;15,7;127
b1;50,07;10,44;1916;8;15,5;85
b1;50,07;10,44;1916;9;11,4;81
b1;50,07;10,44;1916;10;7,9;65
b1;50,07;10,44;1916;11;3,8;53
b1;50,07;10,44;1916;12;1,4;78
b1;50,07;10,44;1917;1;-2,9;51
b1;50,07;10,44;1917;2;-4,1;3
b1;50,07;10,44;1917;3;-0,1;41
b1;50,07;10,44;1917;4;4;35
b1;50,07;10,44;1917;5;15,1;31
b1;50,07;10,44;1917;6;18,2;52
b1;50,07;10,44;1917;7;17,1;60
b1;50,07;10,44;1917;8;15,8;111
b1;50,07;10,44;1917;9;13,6;20
b1;50,07;10,44;1917;10;6,8;78
b1;50,07;10,44;1917;11;4,4;29
b1;50,07;10,44;1917;12;-3;18
b1;50,07;10,44;1918;1;0;63
b1;50,07;10,44;1918;2;1,5;23
b1;50,07;10,44;1918;3;3,9;22
b1;50,07;10,44;1918;4;8,9;38
b1;50,07;10,44;1918;5;13,7;46
b1;50,07;10,44;1918;6;12,6;41
b1;50,07;10,44;1918;7;16;48
b1;50,07;10,44;1918;8;15,7;59
b1;50,07;10,44;1918;9;12,4;75
b1;50,07;10,44;1918;10;6,8;42
b1;50,07;10,44;1918;11;2,5;29
b1;50,07;10,44;1918;12;3,6;97
b1;50,07;10,44;1919;1;0,2;35
b1;50,07;10,44;1919;2;-0,8;48
b1;50,07;10,44;1919;3;2,9;52
b1;50,07;10,44;1919;4;4,6;64
b1;50,07;10,44;1919;5;10,9;38
b1;50,07;10,44;1919;6;15;38
b1;50,07;10,44;1919;7;13,8;72
b1;50,07;10,44;1919;8;15,7;48
b1;50,07;10,44;1919;9;14,2;57
b1;50,07;10,44;1919;10;5,4;35
b1;50,07;10,44;1919;11;0,8;89
b1;50,07;10,44;1919;12;0,4;99
b1;50,07;10,44;1920;1;1,9;118
b1;50,07;10,44;1920;2;2,1;30
b1;50,07;10,44;1920;3;5,3;25
b1;50,07;10,44;1920;4;8,8;60
b1;50,07;10,44;1920;5;13,9;57
b1;50,07;10,44;1920;6;15;13
b1;50,07;10,44;1920;7;16,9;61
b1;50,07;10,44;1920;8;14,6;120
b1;50,07;10,44;1920;9;12,5;77
b1;50,07;10,44;1920;10;6,9;5
